STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
RAND,H,12,REL HUM,20250123 1800,20250123 1800,4, ,  %
RAND,H,12,REL HUM,20250123 1900,20250123 1900,4, ,  %
RAND,H,12,REL HUM,20250123 2000,20250123 2000,3, ,  %
RAND,H,12,REL HUM,20250123 2100,20250123 2100,4, ,  %
RAND,H,12,REL HUM,20250123 2200,20250123 2200,4, ,  %
RAND,H,12,REL HUM,20250123 2300,20250123 2300,4, ,  %
RAND,H,12,REL HUM,20250124 0000,20250124 0000,5, ,  %
RAND,H,12,REL HUM,20250124 0100,20250124 0100,5, ,  %
RAND,H,12,REL HUM,20250124 0200,20250124 0200,5, ,  %
RAND,H,12,REL HUM,20250124 0300,20250124 0300,5, ,  %
RAND,H,12,REL HUM,20250124 0400,20250124 0400,5, ,  %
RAND,H,12,REL HUM,20250124 0500,20250124 0500,5, ,  %
RAND,H,12,REL HUM,20250124 0600,20250124 0600,7, ,  %
RAND,H,12,REL HUM,20250124 0700,20250124 0700,7, ,  %
RAND,H,12,REL HUM,20250124 0800,20250124 0800,7, ,  %
RAND,H,12,REL HUM,20250124 0900,20250124 0900,6, ,  %
RAND,H,12,REL HUM,20250124 1000,20250124 1000,5, ,  %
RAND,H,12,REL HUM,20250124 1100,20250124 1100,4, ,  %
RAND,H,12,REL HUM,20250124 1200,20250124 1200,3, ,  %
RAND,H,12,REL HUM,20250124 1300,20250124 1300,6, ,  %
RAND,H,12,REL HUM,20250124 1400,20250124 1400,8, ,  %
RAND,H,12,REL HUM,20250124 1500,20250124 1500,8, ,  %
RAND,H,12,REL HUM,20250124 1600,20250124 1600,15, ,  %
RAND,H,12,REL HUM,20250124 1700,20250124 1700,22, ,  %
RAND,H,12,REL HUM,20250124 1800,20250124 1800,21, ,  %
RAND,H,12,REL HUM,20250124 1900,20250124 1900,22, ,  %
RAND,H,12,REL HUM,20250124 2000,20250124 2000,20, ,  %
RAND,H,12,REL HUM,20250124 2100,20250124 2100,25, ,  %
RAND,H,12,REL HUM,20250124 2200,20250124 2200,23, ,  %
RAND,H,12,REL HUM,20250124 2300,20250124 2300,25, ,  %
RAND,H,12,REL HUM,20250125 0000,20250125 0000,24, ,  %
RAND,H,12,REL HUM,20250125 0100,20250125 0100,23, ,  %
RAND,H,12,REL HUM,20250125 0200,20250125 0200,26, ,  %
RAND,H,12,REL HUM,20250125 0300,20250125 0300,29, ,  %
RAND,H,12,REL HUM,20250125 0400,20250125 0400,28, ,  %
RAND,H,12,REL HUM,20250125 0500,20250125 0500,29, ,  %
RAND,H,12,REL HUM,20250125 0600,20250125 0600,24, ,  %
RAND,H,12,REL HUM,20250125 0700,20250125 0700,23, ,  %
RAND,H,12,REL HUM,20250125 0800,20250125 0800,21, ,  %
RAND,H,12,REL HUM,20250125 0900,20250125 0900,34, ,  %
RAND,H,12,REL HUM,20250125 1000,20250125 1000,45, ,  %
RAND,H,12,REL HUM,20250125 1100,20250125 1100,50, ,  %
RAND,H,12,REL HUM,20250125 1200,20250125 1200,53, ,  %
RAND,H,12,REL HUM,20250125 1300,20250125 1300,67, ,  %
RAND,H,12,REL HUM,20250125 1400,20250125 1400,64, ,  %
RAND,H,12,REL HUM,20250125 1500,20250125 1500,71, ,  %
RAND,H,12,REL HUM,20250125 1600,20250125 1600,70, ,  %
RAND,H,12,REL HUM,20250125 1700,20250125 1700,74, ,  %
RAND,H,12,REL HUM,20250125 1800,20250125 1800,79, ,  %
RAND,H,12,REL HUM,20250125 1900,20250125 1900,89, ,  %
RAND,H,12,REL HUM,20250125 2000,20250125 2000,86, ,  %
RAND,H,12,REL HUM,20250125 2100,20250125 2100,84, ,  %
RAND,H,12,REL HUM,20250125 2200,20250125 2200,86, ,  %
RAND,H,12,REL HUM,20250125 2300,20250125 2300,98, ,  %
RAND,H,12,REL HUM,20250126 0000,20250126 0000,100, ,  %
RAND,H,12,REL HUM,20250126 0100,20250126 0100,100, ,  %
RAND,H,12,REL HUM,20250126 0200,20250126 0200,100, ,  %
RAND,H,12,REL HUM,20250126 0300,20250126 0300,100, ,  %
RAND,H,12,REL HUM,20250126 0400,20250126 0400,98, ,  %
RAND,H,12,REL HUM,20250126 0500,20250126 0500,100, ,  %
RAND,H,12,REL HUM,20250126 0600,20250126 0600,100, ,  %
RAND,H,12,REL HUM,20250126 0700,20250126 0700,100, ,  %
RAND,H,12,REL HUM,20250126 0800,20250126 0800,100, ,  %
RAND,H,12,REL HUM,20250126 0900,20250126 0900,96, ,  %
RAND,H,12,REL HUM,20250126 1000,20250126 1000,87, ,  %
RAND,H,12,REL HUM,20250126 1100,20250126 1100,82, ,  %
RAND,H,12,REL HUM,20250126 1200,20250126 1200,72, ,  %
RAND,H,12,REL HUM,20250126 1300,20250126 1300,65, ,  %
RAND,H,12,REL HUM,20250126 1400,20250126 1400,54, ,  %
RAND,H,12,REL HUM,20250126 1500,20250126 1500,47, ,  %
RAND,H,12,REL HUM,20250126 1600,20250126 1600,52, ,  %
RAND,H,12,REL HUM,20250126 1700,20250126 1700,73, ,  %
RAND,H,12,REL HUM,20250126 1800,20250126 1800,78, ,  %
RAND,H,12,REL HUM,20250126 1900,20250126 1900,83, ,  %
RAND,H,12,REL HUM,20250126 2000,20250126 2000,87, ,  %
RAND,H,12,REL HUM,20250126 2100,20250126 2100,98, ,  %
RAND,H,12,REL HUM,20250126 2200,20250126 2200,100, ,  %
RAND,H,12,REL HUM,20250126 2300,20250126 2300,100, ,  %
